polity,reign_index,duration_years,region,succession_type,temporal_scope,notes
Byzantine Empire,19,31,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,20,7,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,21,34,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,22,5,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,23,5,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,24,10,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,25,5,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,26,7,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,27,9,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,28,2,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,29,25,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,30,23,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,31,26,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,32,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,33,46,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,34,2,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,35,49,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,36,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,37,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,38,14,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,39,12,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,40,25,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,41,7,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,42,4,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,43,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,44,2,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,45,23,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,46,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,47,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,48,37,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,49,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,50,7,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,51,37,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,52,25,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,53,5,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,54,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,55,33,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,56,9,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,57,4,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,58,1,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,59,57,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,60,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,61,33,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,62,18,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,63,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,64,24,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,65,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,66,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,67,9,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,68,5,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,69,21,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,70,4,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,71,4,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
China (Ming),1,31,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),2,4,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),3,22,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),4,1,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),5,10,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),6,14,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),7,8,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),8,23,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),9,6,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),10,18,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),11,16,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),12,45,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),13,6,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),14,48,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),15,29,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),16,7,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Ming),17,17,Asia,hereditary,1368 - 1644,Ming dynasty emperors
China (Qing),1,18,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),2,8,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),3,61,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),4,13,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),5,45,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),6,25,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),7,7,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),8,30,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),9,11,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),10,2,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Qing),11,3,Asia,hereditary,1644 - 1912,Qing dynasty emperors
China (Tang),1,9,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),2,23,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),3,1,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),4,22,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),5,34,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),6,6,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),7,2,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),8,29,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),9,6,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),10,14,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),11,26,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),12,1,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),13,15,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),14,1,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),15,7,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),16,14,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),17,6,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),18,13,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),19,1,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),20,16,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),21,15,Asia,hereditary,618 - 907,Tang dynasty emperors
China (Tang),22,4,Asia,hereditary,618 - 907,Tang dynasty emperors
Denmark,1,28,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,2,27,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,3,8,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,4,42,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,5,5,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,6,7,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,7,22,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,8,25,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,9,23,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,10,18,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,11,17,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,12,3,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,13,13,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,14,8,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,15,16,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,16,20,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,17,12,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,18,9,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,19,7,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,20,9,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,21,19,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,22,33,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,23,20,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,24,43,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,25,16,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,26,16,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,27,18,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,28,31,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,29,24,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,30,17,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,31,11,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,32,26,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,33,24,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,34,3,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,35,11,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,36,29,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,37,31,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,38,12,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,39,20,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,40,40,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,41,31,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,42,9,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,43,28,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,44,17,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,45,57,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,46,6,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,47,35,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,48,27,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Denmark,49,52,Europe,hereditary,936 - present,"Danish monarchs, Gorm the Old to Frederick X"
Egypt (New Kingdom),1,21,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),2,13,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),3,22,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),4,54,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),5,9,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),6,22,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),7,54,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),8,10,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),9,26,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),10,38,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),11,17,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),12,3,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),13,1,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),14,10,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),15,67,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),16,11,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),17,67,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),18,10,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),19,34,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),20,6,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),21,2,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),22,19,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),23,7,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),24,32,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),25,25,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),26,8,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),27,7,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),28,8,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),29,1,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),30,9,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
Egypt (New Kingdom),31,27,Africa/Middle East,hereditary,1550 - 1077 BCE,New Kingdom pharaohs
England/Britain,1,21,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,2,13,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,3,35,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,4,19,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,5,10,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,6,10,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,7,17,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,8,3,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,9,56,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,10,20,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,11,50,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,12,22,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,13,2,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,14,13,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,15,10,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,16,22,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,17,2,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,18,22,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,19,24,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,20,38,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,21,6,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,22,5,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,23,45,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,24,22,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,25,6,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,26,11,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,27,25,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,28,3,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,29,13,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,30,12,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,31,13,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,32,33,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,33,60,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,34,10,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,35,26,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,36,64,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,37,9,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,38,26,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,39,16,Europe,hereditary,1066 - 2022,William I to Elizabeth II
England/Britain,40,70,Europe,hereditary,1066 - 2022,William I to Elizabeth II
Ethiopia,1,15,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,2,14,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,3,6,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,4,29,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,5,2,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,6,5,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,7,10,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,8,1,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,9,15,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,10,33,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,11,4,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,12,16,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,13,1,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,14,12,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,15,2,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,16,19,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,17,7,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,18,23,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,19,3,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,20,38,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,21,5,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,22,11,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,23,24,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,24,9,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,25,7,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,26,4,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
Ethiopia,27,44,Africa,hereditary,1270 - 1974,Solomonic dynasty emperors
France,1,9,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,2,26,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,3,29,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,4,29,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,5,48,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,6,43,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,7,44,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,8,3,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,9,17,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,10,6,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,11,29,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,12,6,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,13,6,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,14,5,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,15,33,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,16,22,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,17,14,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,18,42,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,19,39,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,20,3,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,21,22,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,22,15,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,23,33,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,24,12,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,25,72,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,26,1,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,27,14,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,28,19,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,29,22,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,30,4,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,31,72,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,32,5,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,33,59,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,34,16,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,35,10,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,36,6,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,37,10,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
France,38,18,Europe,hereditary,987 - 1870,Hugh Capet to Napoleon III
Holy Roman Empire,1,37,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,2,23,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,3,22,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,4,2,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,5,17,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,6,17,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,7,39,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,8,20,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
Holy Roman Empire,9,18,Europe,elective,962 - 1806,"Holy Roman Emperors, Otto I to Francis II"
